PlayerTotal,ActiveAce,DealerCard,Hit,Stand
19,1,10,0.09684,-0.49378
19,1,11,-0.47299,-0.46207
20,0,2,-0.81156,0.85107
20,0,3,-0.97028,0.49237
20,0,4,-0.90374,0.54749
20,0,5,-0.98035,0.75879
20,0,6,-0.99543,0.61672
20,0,7,-0.98384,0.64471
20,0,8,-0.73376,0.69665
20,0,9,-0.82030,0.63731
20,0,10,-0.89050,0.49404
20,0,11,-0.98822,-0.00002
20,1,2,0.11359,0.67759
20,1,3,0.06162,0.28905
20,1,4,0.00442,0.78956
20,1,5,0.16982,0.79652
20,1,6,0.13765,0.66930
20,1,7,0.30654,0.52819
20,1,8,0.13808,0.76555
20,1,9,0.09357,0.56346
20,1,10,-0.13529,0.70124
20,1,11,-0.36671,0.29064
21,0,2,-1.00000,0.91647
21,0,3,-1.00000,0.90103
21,0,4,-1.00000,0.96652
21,0,5,-1.00000,0.87889
21,0,6,-1.00000,0.89656
21,0,7,-1.00000,0.96524
21,0,8,-1.00000,0.95991
21,0,9,-1.00000,0.84480
21,0,10,-1.00000,0.71864
21,0,11,-1.00000,0.69757
21,1,2,0.23314,0.89819
21,1,3,0.23971,0.98514
21,1,4,0.35659,0.89994
21,1,5,0.38811,0.95355
21,1,6,0.33928,0.98537
21,1,7,0.31579,0.93723
21,1,8,0.35871,0.77557
21,1,9,0.16378,0.96781
21,1,10,0.05636,0.88450
21,1,11,-0.09981,0.65667
