State,Hit,Stand
0,-0.22759,-0.61534
1,-0.23583,-0.64231
2,-0.49531,-0.53598
3,-0.38639,-0.86990
4,-0.61015,-0.31751
5,-0.57404,-0.22548
6,-0.59343,-0.07002
7,-0.50611,0.50419
8,-0.77604,0.20502
9,-0.42847,0.87578
