Episode,AverageReward
10000,-0.12120
20000,-0.10615
30000,-0.10240
40000,-0.09888
50000,-0.09528
60000,-0.09262
70000,-0.09167
80000,-0.09230
90000,-0.09276
100000,-0.09444
110000,-0.09517
120000,-0.09620
130000,-0.09779
140000,-0.09831
150000,-0.09790
160000,-0.09770
170000,-0.09759
180000,-0.09798
190000,-0.09724
200000,-0.09714
210000,-0.09723
220000,-0.09666
230000,-0.09703
240000,-0.09711
250000,-0.09755
260000,-0.09765
270000,-0.09759
280000,-0.09744
290000,-0.09791
300000,-0.09792
310000,-0.09822
320000,-0.09774
330000,-0.09780
340000,-0.09782
350000,-0.09803
360000,-0.09773
370000,-0.09776
380000,-0.09812
390000,-0.09765
400000,-0.09763
410000,-0.09750
420000,-0.09789
430000,-0.09805
440000,-0.09796
450000,-0.09764
460000,-0.09788
470000,-0.09765
480000,-0.09735
490000,-0.09712
500000,-0.09710
510000,-0.09689
520000,-0.09679
530000,-0.09672
540000,-0.09636
550000,-0.09633
560000,-0.09633
570000,-0.09617
580000,-0.09623
590000,-0.09578
600000,-0.09577
610000,-0.09599
620000,-0.09592
630000,-0.09578
640000,-0.09546
650000,-0.09564
660000,-0.09574
670000,-0.09562
680000,-0.09574
690000,-0.09576
700000,-0.09579
710000,-0.09598
720000,-0.09604
730000,-0.09573
740000,-0.09585
750000,-0.09596
760000,-0.09603
770000,-0.09593
780000,-0.09605
790000,-0.09644
800000,-0.09642
810000,-0.09642
820000,-0.09626
830000,-0.09610
840000,-0.09621
850000,-0.09638
860000,-0.09624
870000,-0.09633
880000,-0.09645
890000,-0.09639
900000,-0.09637
910000,-0.09649
920000,-0.09645
930000,-0.09640
940000,-0.09638
950000,-0.09651
960000,-0.09645
970000,-0.09648
980000,-0.09621
990000,-0.09610
1000000,-0.09600
